'Asp Ratio','Form Factor','Narrow Factor',Rect,PRD,PRLW,MeanRed,MeanGreen,MeanBlue,StdDevRed,StdDevGreen,StdDevBlue,SkewRed,SkewGreen,SkewBlue,ASM,Contrast,Entropy,Homogeneity,Correlation,Class
0.142967,0.259568,0.061106,0.14971,0.047249,0.037877,0.836066,0.853659,0.831776,0.456378,0.400594,0.429137,0.100824,0.281143,0.130634,0.818217,0.034228,0.150734,0.863399,0.114144,'pubescent bamboo'
0.095047,0.362318,0.096707,0.208455,0.028104,0.024145,0.852459,0.853659,0.841121,0.421353,0.415698,0.402184,0.119782,0.26004,0.14769,0.818174,0.026051,0.149407,0.86862,0.109181,'pubescent bamboo'
0.134656,0.214261,0.052466,0.189025,0.068711,0.060494,0.795082,0.817073,0.794393,0.525415,0.441887,0.480229,0.07565,0.261797,0.114064,0.77664,0.040724,0.18787,0.826493,0.141439,'pubescent bamboo'
0.108469,0.264222,0.037681,0.206382,0.077225,0.052741,0.786885,0.804878,0.775701,0.51516,0.436279,0.472225,0.094773,0.2809,0.135878,0.746696,0.03254,0.206683,0.806008,0.148883,'pubescent bamboo'
0.127322,0.229595,0.064911,0.198776,0.05878,0.05523,0.795082,0.804878,0.785047,0.507329,0.470484,0.478139,0.093058,0.238228,0.122794,0.758117,0.040779,0.201858,0.81191,0.148883,'pubescent bamboo'
0.082541,0.367285,0.089294,0.282454,0.031936,0.020148,0.819672,0.841463,0.813084,0.473386,0.408204,0.433278,0.102655,0.287263,0.143451,0.784646,0.044368,0.178125,0.827692,0.126551,'pubescent bamboo'
0.06572,0.393659,0.015643,0.268475,0.093808,0.034987,0.754098,0.768293,0.738318,0.566409,0.486359,0.53276,0.077576,0.249315,0.10939,0.711676,0.031555,0.231932,0.781341,0.17866,'pubescent bamboo'
0.064668,0.505966,0.055645,0.241656,0.047929,0.009456,0.713115,0.756098,0.71028,0.611004,0.477956,0.561724,0.070511,0.272581,0.106097,0.673404,0.038627,0.26983,0.741072,0.198511,'pubescent bamboo'
0.064578,0.471687,0,0.253669,0.090316,0.015937,0.713115,0.768293,0.700935,0.624919,0.470719,0.578387,0.060336,0.274742,0.096714,0.676,0.051251,0.271709,0.739571,0.198511,'pubescent bamboo'
0.086229,0.302064,0.067111,0.255209,0.060925,0.047607,0.754098,0.768293,0.738318,0.54804,0.489549,0.523109,0.093026,0.247808,0.118812,0.699793,0.037892,0.241263,0.772299,0.181141,'pubescent bamboo'
0.081662,0.347554,0.061931,0.233594,0.059292,0.039012,0.770492,0.792683,0.757009,0.53354,0.444976,0.499304,0.092728,0.282232,0.126336,0.725117,0.032323,0.221379,0.792008,0.16129,'pubescent bamboo'
